course1,course2,n_students
5055STÆ405G20250,5055EÐL401G20250,10
5055EÐL404M20250,5055STÆ401G20250,12
5055STÆ401G20250,5055EÐL404M20250,12
5055EÐL404M20250,5055STÆ405G20250,8
5055STÆ405G20250,5055EÐL404M20250,8
5055STÆ401G20250,5055STÆ405G20250,36
5055STÆ405G20250,5055STÆ401G20250,36
4043FFU201F20250,4043NAF002F20250,20
4043NAF002F20250,4043FFU201F20250,20
4043FFU201F20250,4043UME208F20250,12
4043UME208F20250,4043FFU201F20250,12
4043NAF002F20250,4043UME208F20250,7
4043UME208F20250,4043NAF002F20250,7
1015STJ439G20250,1015STJ453G20250,21
1015STJ453G20250,1015STJ439G20250,21
1015STJ439G20250,1015STJ462G20250,18
1015STJ462G20250,1015STJ439G20250,18
1015STJ453G20250,1015STJ462G20250,26
1015STJ462G20250,1015STJ453G20250,26
2023LEI210F20250,2023LÆK101F20250,2
2023LÆK101F20250,2023LEI210F20250,2
2025SÁL624G20250,2025SÁL627G20250,5
2025SÁL627G20250,2025SÁL624G20250,5
2025SÁL624G20250,2025SÁL629G20250,17
2025SÁL629G20250,2025SÁL624G20250,17
2025SÁL627G20250,2025SÁL629G20250,12
2025SÁL629G20250,2025SÁL627G20250,12
4042KEN402G20250,4042KEN403G20250,33
4042KEN403G20250,4042KEN402G20250,33
1013HAG201G20250,1013HAG203G20250,54
1013HAG203G20250,1013HAG201G20250,54
1013HAG201G20250,1013HAG208G20250,45
1013HAG208G20250,1013HAG201G20250,45
1013HAG201G20250,1013HAG209G20250,53
1013HAG209G20250,1013HAG201G20250,53
1013HAG203G20250,1013HAG208G20250,44
1013HAG208G20250,1013HAG203G20250,44
1013HAG203G20250,1013HAG209G20250,50
1013HAG209G20250,1013HAG203G20250,50
1013HAG208G20250,1013HAG209G20250,44
1013HAG209G20250,1013HAG208G20250,44
2022LYF207M20250,5053LÍF561L20250,1
5053LÍF561L20250,2022LYF207M20250,1
1016VIÐ155M20250,1016VIÐ277F20250,7
1016VIÐ277F20250,1016VIÐ155M20250,7
1016VIÐ155M20250,1016VIÐ290F20250,4
1016VIÐ290F20250,1016VIÐ155M20250,4
1016VIÐ277F20250,1016VIÐ290F20250,51
1016VIÐ290F20250,1016VIÐ277F20250,51
1014LÖG201G20250,1014LÖG404G20250,3
1014LÖG404G20250,1014LÖG201G20250,3
2023LÆK616G20250,2026TAN301G20250,10
2026TAN301G20250,2023LÆK616G20250,10
2023LÆK616G20250,2026TAN307G20250,10
2026TAN307G20250,2023LÆK616G20250,10
2023LÆK616G20250,2026TAN308G20250,10
2026TAN308G20250,2023LÆK616G20250,10
2023LÆK616G20250,2026TAN309G20250,10
2026TAN309G20250,2023LÆK616G20250,10
2023LÆK616G20250,2026TAN310G20250,10
2026TAN310G20250,2023LÆK616G20250,10
2023LÆK616G20250,2026TAN311G20250,10
2026TAN311G20250,2023LÆK616G20250,10
2023LÆK616G20250,2026TAN314G20250,10
2026TAN314G20250,2023LÆK616G20250,10
2026TAN301G20250,2026TAN307G20250,10
2026TAN307G20250,2026TAN301G20250,10
2026TAN301G20250,2026TAN308G20250,10
2026TAN308G20250,2026TAN301G20250,10
2026TAN301G20250,2026TAN309G20250,10
2026TAN309G20250,2026TAN301G20250,10
2026TAN301G20250,2026TAN310G20250,10
2026TAN310G20250,2026TAN301G20250,10
2026TAN301G20250,2026TAN311G20250,10
2026TAN311G20250,2026TAN301G20250,10
2026TAN301G20250,2026TAN314G20250,10
2026TAN314G20250,2026TAN301G20250,10
2026TAN307G20250,2026TAN308G20250,10
2026TAN308G20250,2026TAN307G20250,10
2026TAN307G20250,2026TAN309G20250,10
2026TAN309G20250,2026TAN307G20250,10
2026TAN307G20250,2026TAN310G20250,10
2026TAN310G20250,2026TAN307G20250,10
2026TAN307G20250,2026TAN311G20250,10
2026TAN311G20250,2026TAN307G20250,10
2026TAN307G20250,2026TAN314G20250,10
2026TAN314G20250,2026TAN307G20250,10
2026TAN308G20250,2026TAN309G20250,10
2026TAN309G20250,2026TAN308G20250,10
2026TAN308G20250,2026TAN310G20250,10
2026TAN310G20250,2026TAN308G20250,10
2026TAN308G20250,2026TAN311G20250,10
2026TAN311G20250,2026TAN308G20250,10
2026TAN308G20250,2026TAN314G20250,10
2026TAN314G20250,2026TAN308G20250,10
2026TAN309G20250,2026TAN310G20250,10
2026TAN310G20250,2026TAN309G20250,10
2026TAN309G20250,2026TAN311G20250,10
2026TAN311G20250,2026TAN309G20250,10
2026TAN309G20250,2026TAN314G20250,10
2026TAN314G20250,2026TAN309G20250,10
2026TAN310G20250,2026TAN311G20250,10
2026TAN311G20250,2026TAN310G20250,10
2026TAN310G20250,2026TAN314G20250,10
2026TAN314G20250,2026TAN310G20250,10
2026TAN311G20250,2026TAN314G20250,10
2026TAN314G20250,2026TAN311G20250,10
4042LSK008G20250,4042LSK009G20250,45
